KHOI,CAP0,PRODUCT_CODE,CAP1,CAP2,CAP3,CAP4,CAP1_VN,CAP2_VN,CAP3_VN,CAP4_VN,TRANSACTION_DATE,SPKHCN,KHOI_CAP1,SP_KHCN
INDIV,HDV&TT,12214,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,HOP DONG TIEN GUI KHCN,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Hợp đồng tiền gửi KHCN,2022-03-09 00:00:00.0000000,TKTK/TGCKH,INDIV,TKTK/TGCKH
TOAN_HANG,,11221,Tài khoản thanh toán,Tài khoản ký quỹ và chuyên dùng,Tài khoản chuyên dùng,Tài khoản chuyên dùng ví SP SO,Tài khoản thanh toán,Tài khoản ký quỹ và chuyên dùng,Tài khoản chuyên dùng,Tài khoản chuyên dùng ví SP SO,2021-01-01 00:00:00.0000000,,,
TCKT,,12214,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn,Hợp đồng tiền gửi,2023-07-26 00:00:00.0000000,,,
NHS,HDV&TT,11221,TKTT,TAI KHOAN KY QUY VA CHUYEN DUNG,TAI KHOAN CHUYEN DUNG,TAI KHOAN CHUYEN DUNG VI SP SO,Tài khoản thanh toán,Tài khoản ký quỹ và chuyên dùng,Tài khoản chuyên dùng,Tài khoản chuyên dùng ví SP SO,2022-03-09 00:00:00.0000000,TKTT,NHS,TKTT
TOAN_HANG,,12214,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Hợp đồng tiền gửi KHCN,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Hợp đồng tiền gửi KHCN,2021-01-01 00:00:00.0000000,,,
INDIV,DU NO,25212,CV CC GTCG,"CHO VAY THAU CHI/RUT VON NHANH CAM CO GIAY TO CO GIA, TTK, HDTG, CCTG,…(GOI TAT LA GTCG)",CHO VAY THAU CHI/RUT VON NHANH CAM CO GTCG,CHO VAY RUT VON NHANH CAM CO GTCG,"Cho vay cầm cố Giấy tờ có giá, TTK, HĐTG, CCTG,…(gọi tắt là GTCG)","Cho vay thấu chi/rút vốn nhanh cầm cố Giấy tờ có giá, TTK, HĐTG, CCTG,…(gọi tắt là GTCG)",Cho vay thấu chi/rút vốn nhanh cầm cố GTCG,Cho vay rút vốn nhanh cầm cố GTCG,2022-03-09 00:00:00.0000000,CV CC GTCG,INDIV,CV CC GTCG
TOAN_HANG,,13111,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi cuối kỳ (qua eMB) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi cuối kỳ (qua eMB) SP SO,2021-01-01 00:00:00.0000000,,,
SME,HUY_DONG,13111,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CKH/TIET KIEM TRA LAI CUOI KY (QUA EMB) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi cuối kỳ (qua eMB) SP SO,2021-01-01 00:00:00.0000000,,,
SME,BAO_LANH,31211,BAO LANH,BAO LANH,BAO LANH NHAN HANG,BAO LANH NHAN HANG,Bảo lãnh,Bảo lãnh,Bảo lãnh nhận hàng,Bảo lãnh nhận hàng,2021-01-01 00:00:00.0000000,,,
NHS,HDV&TT,13111,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CKH/TIET KIEM TRA LAI CUOI KY (QUA EMB) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi cuối kỳ (qua eMB) SP SO,2022-03-09 00:00:00.0000000,TKTK/TGCKH,NHS,TKTK/TGCKH
